,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
152000,76283,Luigi Mastrangelo,Male,36.0,202.0,90.0,Italy,ITA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Bronze
152076,76329,Viliame Sevaka Mata,Male,24.0,196.0,106.0,Fiji,FIJ,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
152112,76353,Richard Kipkemboi Mateelong,Male,24.0,179.0,65.0,Kenya,KEN,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
152185,76389,Svitlana Valerivna Matevusheva,Female,23.0,178.0,75.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's Three Person Keelboat,Silver
152197,76398,Diana Beverly Matheson,Female,28.0,153.0,54.0,Canada,CAN,2012 Summer,2012,Summer,London,Football,Football Women's Football,Bronze
152198,76398,Diana Beverly Matheson,Female,32.0,153.0,54.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
152202,76400,Eli Matheson,Male,25.0,175.0,70.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
152215,76407,Courtney Lynn Kaiulani  Mathewson,Female,25.0,171.0,69.0,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
152216,76407,Courtney Lynn Kaiulani  Mathewson,Female,29.0,171.0,69.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
152263,76433,Michael Walter Mathieu,Male,24.0,178.0,76.0,Bahamas,BAH,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
152265,76433,Michael Walter Mathieu,Male,28.0,178.0,76.0,Bahamas,BAH,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
152266,76433,Michael Walter Mathieu,Male,32.0,178.0,76.0,Bahamas,BAH,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
152356,76464,Julia Matijass,Female,30.0,161.0,48.0,Germany,GER,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Extra-Lightweight,Bronze
152381,76481,Antony Matkovich,Male,27.0,196.0,92.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
152415,76501,Valter Matoevi,Male,34.0,194.0,99.0,Croatia,CRO,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,Gold
